count;dzikr;translation;source
1;أَعُوذُ بِاللَّهِ مِنَ الشَّيْطَانِ الرَّجِيمِ;Aku berlindung kepada Allah dari godaan syaitan yang terkutuk.;
1;اللهُ لاَ إِلَهَ إِلاَّ هُوَ الْحَيُّ الْقَيُّومُ، لاَ تَأْخُذُهُ سِنَةٌ وَلاَ نَوْمٌ، لَهُ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ، مَنْ ذَا الَّذِي يَشْفَعُ عِنْدَهُ إِلاَّ بِإِذْنِهِ، يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ، وَلَا يُحِيطُونَ بِشَيْءٍ مِنْ عِلْمِهِ إِلاَّ بِمَا شَاءَ، وَسِعَ كُرْسِيُّهُ السَّمَاوَاتِ وَالْأَرْضَ، وَلَا يَئُودُهُ حِفْظُهُمَا، وَهُوَ الْعَلِيُّ الْعَظِيمُ;Allah tidak ada Ilah (yang berhak diibadahi) me­lainkan Dia Yang Hidup Kekal lagi terus menerus mengurus (makhluk-Nya) tidak mengantuk dan tidak tidur. Kepunyaan-Nya apa yang ada di langit dan di bumi. Tidak ada yang dapat memberi syafa'at di sisi Allah tanpa izin-Nya. Allah mengetahui apa-apa yang (berada) dihadapan mereka, dan dibelakang mereka dan mereka tidak mengetahui apa-apa dari Ilmu Allah melainkan apa yang dikehendaki-Nya. Kursi Allah meliputi langit dan bumi. Dan Allah tidak merasa berat memelihara keduanya, Allah Mahatinggi lagi Mahabesar.;QS.Al-Baqarah:255;
3;بِسْمِ اللهِ الرَّحْمنِ الرَّحِيمِ . قُلْ هُوَ اللَّهُ أَحَدٌ . اللَّهُ الصَّمَدُ . لَمْ يَلِدْ وَلَمْ يُولَدْ . وَلَـمْ يَكُن لَّهُ كُفُواً أَحَدٌ;Katakanlah, Dia-lah Allah Yang Mahaesa. Allah adalah (Rabb) yang segala sesuatu bergantung kepada–Nya. Dia tidak beranak dan tidak pula diper­anakkan. Dan tidak ada seorang pun yang setara dengan–Nya.;QS.Al–Ikhlas: 1–4;
3;بِسْمِ اللهِ الرَّحْمنِ الرَّحِيمِ . قُلْ أَعُوذُ بِرَبِّ الْفَلَقِ . مِن شَرِّ مَا خَلَقَ . وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ . وَمِن شَرِّ النَّفَّاثَاتِ فِي الْعُقَدِ . وَمِن شَرِّ حَاسِدٍ إِذَا حَسَدَ;Katakanlah: 'Aku berlindung kepada Rabb Yang menguasai (waktu) Shubuh dari kejahatan makhluk–Nya. Dan dari kejahatan malam apabila telah gelap gulita. Dan dari kejahatan wanita–wanita tukang sihir yang menghembus pada buhul–buhul. Serta dari kejahatan orang yang dengki apabila dia dengki;QS. Al–Falaq: 1–5;
3;بِسْمِ اللهِ الرَّحْمنِ الرَّحِيمِ . قُلْ أَعُوذُ بِرَبِّ النَّاسِ . مَلِكِ النَّاسِ . إِلـٰهِ النَّاسِ . مِن شَرِّ الْوَسْوَاسِ الْخَنَّاسِ . الَّذِي يُوَسْوِسُ فِي صُدُورِ النَّاسِ . مِنَ الْجِنَّةِ وَ النَّاسِ;Katakanlah, 'Aku berlindung kepada Rabb (yang memelihara dan menguasai) manusia. Raja manusia. Sembahan (Ilah) manusia. Dari kejahatan (bisikan) syaitan yang biasa bersembunyi. Yang membisik­kan (kejahatan) ke dalam dada–dada manusia. Dari golongan jin dan manusia.;QS. Al–Naas: 1–6;
1;أَصْبَحْنَا وَأَصْبَحَ الْمُلْكُ لِلَّهِ، وَالْحَمْدُ لِلَّهِ، لاَ إِلَـهَ إِلاَّ اللهُ وَحْدَهُ لاَ شَرِيْكَ لَهُ، لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيْرُ. رَبِّ أَسْأَلُكَ خَيْرَ مَا فِيْ هَذَا الْيَوْمِ وَخَيْرَ مَا بَعْدَهُ، وَأَعُوْذُ بِكَ مِنْ شَرِّ مَا فِيْ هَذَا الْيَوْمِ وَشَرِّ مَا بَعْدَهُ، رَبِّ أَعُوْذُ بِكَ مِنَ الْكَسَلِ وَسُوْءِ الْكِبَرِ، رَبِّ أَعُوْذُ بِكَ مِنْ عَذَابٍ فِي النَّارِ وَعَذَابٍ فِي الْقَبْرِ;Kami telah memasuki waktu pagi dan kerajaan hanya milik Allah, segala puji hanya milik Allah. Tidak ada Ilah (yang berhak diibadahi dengan benar) kecuali Allah Yang Mahaesa, tiada sekutu bagi–Nya. Bagi–Nya kerajaan dan bagi–Nya pujian. Dia–lah Yang Mahakuasa atas segala sesuatu. Wahai Rabb, aku mohon kepada–Mu kebaikan di hari ini dan kebaikan sesudahnya. Aku berlindung kepada–Mu dari kejahatan hari ini dan kejahatan sesudahnya. Wahai Rabb, aku berlindung kepada–Mu dari kemalasan dan kejelekan di hari tua. Wahai Rabb, aku berlindung kepada–Mu dari siksaan di Neraka dan siksaan di kubur.;HR. Muslim IV/2088 no. 2723, Abu Dawud no. 5071, at–Tirmidzi 3390, shahih.;
1;اَللَّهُمَّ بِكَ أَصْبَحْنَا، وَبِكَ أَمْسَيْنَا، وَبِكَ نَحْيَا، وَبِكَ نَمُوْتُ وَإِلَيْكَ النُّشُوْرُ;Ya Allah, dengan rahmat dan pertolongan–Mu kami memasuki waktu pagi, dan dengan rahmat dan pertolongan–Mu kami memasuki waktu sore. Dengan rahmat dan kehendak–Mu kami hidup dan dengan rahmat dan kehendak–Mu kami mati. Dan kepada–Mu kebangkitan (bagi semua makhluk).;HR. Al–Bukhari dalam al–Adabul Mufrad, lafazh ini ada­lah lafazh al–Bukhari, at–Tirmidzi no. 3391, Abu Dawud no. 5068, Ahmad 11/354, Ibnu Majah no. 3868, Shahiih al–Adabil Mufrad no. 911, shahih. Lihat pula Silsilah al–Ahaadiits ash–Shahiihah no. 262.;
1;اَللَّهُمَّ أَنْتَ رَبِّيْ لاَ إِلَـهَ إِلاَّ أَنْتَ، خَلَقْتَنِيْ وَأَنَا عَبْدُكَ، وَأَنَا عَلَى عَهْدِكَ وَوَعْدِكَ مَا اسْتَطَعْتُ، أَعُوْذُ بِكَ مِنْ شَرِّ مَا صَنَعْتُ، أَبُوْءُ لَكَ بِنِعْمَتِكَ عَلَيَّ، وَأَبُوْءُ بِذَنْبِيْ فَاغْفِرْ لِيْ فَإِنَّهُ لاَ يَغْفِرُ الذُّنُوْبَ إِلاَّ أَنْتَ;Ya Allah, Engkau adalah Rabb–ku, tidak ada Ilah (yang berhak diibadahi dengan benar) kecuali Engkau, Engkau–lah yang menciptakanku. Aku adalah hamba–Mu. Aku akan setia pada perjanjian­ku dengan–Mu semampuku. Aku berlindung ke­pada–Mu dari kejelekan (apa) yang kuperbuat. Aku mengakui nikmat–Mu (yang diberikan) kepadaku dan aku mengakui dosaku, oleh karena itu, ampuni­lah aku. Sesungguhnya tidak ada yang dapat mengampuni dosa kecuali Engkau.;HR. Al–Bukhari no. 6306, 6323, Ahmad IV/122–125, an–Nasa–i VIII/279–280;
3;اَللَّهُمَّ عَافِنِيْ فِيْ بَدَنِيْ، اَللَّهُمَّ عَافِنِيْ فِيْ سَمْعِيْ، اَللَّهُمَّ عَافِنِيْ فِيْ بَصَرِيْ، لاَ إِلَـهَ إِلاَّ أَنْتَ، اَللَّهُمَّ إِنِّي أَعُوْذُ بِكَ مِنَ الْكُفْرِ وَالْفَقْرِ، وَأَعُوْذُ بِكَ مِنْ عَذَابِ الْقَبْرِ، لاَ إِلَـهَ إِلاَّ أَنْتَ;Ya Allah, selamatkanlah tubuhku (dari penyakit dan dari apa yang tidak aku inginkan). Ya Allah, selamatkanlah pendengaranku (dari penyakit dan maksiat atau dari apa yang tidak aku inginkan). Ya Allah, selamatkanlah penglihatanku, tidak ada Ilah (yang berhak diibadahi) kecuali Engkau. Ya Allah, sesungguhnya aku berlindung kepada–Mu dari kekufuran dan kefakiran. Aku berlindung kepada–Mu dari siksa kubur, tidak ada Ilah (yang berhak diibadahi) kecuali Engkau.;HR. Al–Bukhari dalam Shahiih al–Adabil Mufrad no. 539, Abu Dawud no. 5090, Ahmad V/42, hasan;
1;اللَّهُمَّ إِنِّي أَسْأَلُكَ الْعَفْوَ وَالْعَافِيَةَ فِي الدُّنْيَا وَالْآخِرَةِ، اللَّهُمَّ إِنِّي أَسْأَلُكَ الْعَفْوَ وَالْعَافِيَةَ فِي دِينِي وَدُنْيَايَ وَأَهْللِي، وَمَالِي، اللَّهُمَّ اسْتُرْ عَوْرَاتِي، وَآمِنْ رَوْعَاتِي، اللَّهُمَّ احْفَظْنِي مِنْ بَيْنِ يَدَيَّ، وَمِنْ خَلْفِي، وَعَنْ يَمِينِي، وَعَنْ شِمَالِي، وَمِنْ فَوْقِي، وَأَعُوذُ بِعَظَمَتِكَ أَنْ أُغْتَالَ مِنْ تَحْتِ;Ya Allah, sesungguhnya aku memohon kebajikan dan keselamatan di dunia dan akhirat. Ya Allah, sesungguhnya aku memohon kebajikan dan ke­selamatan dalam agama, dunia, keluarga dan harta­ku. Ya Allah, tutupilah auratku (aib dan sesuatu yang tidak layak dilihat orang) dan tentramkan–lah aku dari rasa takut. Ya Allah, peliharalah aku dari depan, belakang, kanan, kiri dan dari atasku. Aku berlindung dengan kebesaran–Mu, agar aku tidak disambar dari bawahku (aku berlindung dari dibenamkan ke dalam bumi).;HR. Al–Bukhari dalam al–Adabul Mufrad, Abu Dawud no. 5074, Ibnu Majah no. 3871, al–Hakim 1/517–518, Shahiih al–Adabul Mufrad no. 912, shahih;
1;اَللَّهُمَّ عَالِـمَ الْغَيْبِ وَالشَّهَادَةِ فَاطِرَ السَّمَاوَاتِ وَاْلأَرْضِ، رَبَّ كُلِّ شَيْءٍ وَمَلِيْكَهُ، أَشْهَدُ أَنْ لاَ إِلَـهَ إِلاَّ أَنْتَ، أَعُوْذُ بِكَ مِنْ شَرِّ نَفْسِيْ، وَمِنْ شَرِّ الشَّيْطَانِ وَشِرْكِهِ، وَأَنْ أَقْتَرِفَ عَلَى نَفْسِيْ سُوْءًا أَوْ أَجُرُّهُ إِلَى مُسْلِمٍ;Ya Allah Yang Mahamengetahui yang ghaib dan yang nyata, wahai Rabb Pencipta langit dan bumi, Rabb atas segala sesuatu dan Yang Merajainya. Aku bersaksi bahwa tidak ada Ilah (yang berhak diibadahi) kecuali Engkau. Aku berlindung ke­pada–Mu dari kejahatan diriku, syaitan dan sekutu­nya, (aku berlindung kepada–Mu) dari berbuat kejelekan atas diriku atau mendorong seorang muslim kepadanya.;HR. At–Tirmidzi no. 3392 dan Abu Dawud no. 5067, lihat Shahiih at–Tirmidzi no. 2071, Shahiih al–Adabil Mufrad no. 914, shahih. Lihat Silsilah al–Ahaadiits ash–Shahiihah no. 2753;
3;بِسْمِ اللهِ الَّذِي لَا يَضُرُّ مَعَ اسْمِهِ شَيْءٌ فِي الْأَرْضِ وَلَا فِي السَّمَاءِ وَهُوَ السَّمِيعُ الْعَلِيمُ;Dengan Nama Allah yang tidak ada bahaya atas Nama–Nya sesuatu di bumi dan tidak pula dilangit. Dia–lah Yang Maha mendengar dan Maha mengetahui.;HR. At–Tirmidzi no. 3388, Abu Dawud no. 5088, Ahmad no. 446 dan 476, Tahqiq Ahmad Syakir dan Ibnu Majah no. 3869, lihat Shahiih Ibni Majah no. 3120, al–Hakim 1/513, Shahiih al–Adabil Mufrad no. 513, Shahiih at–Targhiib wat Tarhiib 1/413 no. 655, sanad–nya shahih.;
3;رَضِيْتُ بِاللَّهِ رَبًّا، وَبِاْلإِسْلاَمِ دِيْنًا، وَبِمُحَمَّدٍ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ نَبِيًّا;Aku rela (ridha) Allah sebagai Rabb–ku (untuk­ku dan orang lain), Islam sebagai agamaku dan Muhammad shallallaahu 'alaihi wa sallam sebagai Nabiku (yang diutus oleh Allah).;HR. Ahmad IV/337, Abu Dawud no. 5072, at–Tirmidzi no. 3389, Ibnu Majah no. 3870, an–Nasa–i dalam 'Amalul Yaum wal Lailah no. 4 dan Ibnus Sunni no. 68, Shahiih at–Targhiib wat Tarhiib 1/415 no. 657, dishahihkan oleh Imam al–Hakim dalam al–Mustadrak 1/518 dan disetujui oleh Imam adz–Dzahabi, hasan. Lihat juga Shahiih al–Waabilish Shayyib hal. 170, Zaadul Ma'aad II/372, Silsilah al–Ahaadiits ash–Shahiihah no. 2686;
1;يَا حَيُّ يَا قَيُّوْمُ بِرَحْمَتِكَ أَسْتَغِيْثُ، أَصْلِحْ لِيْ شَأْنِيْ كُلَّهُ وَلاَ تَكِلْنِيْ إِلَى نَفْسِيْ طَرْفَةَ عَيْنٍ;Wahai Rabb Yang Mahahidup, Wahai Rabb Yang berdiri sendiri (tidak butuh segala sesuatu) dengan rahmat–Mu aku meminta pertolongan, perbaikilah segala urusanku dan jangan diserahkan kepadaku meski sekejap mata sekali pun (tanpa mendapat pertolongan dari–Mu).;HR. An–Nasa–i 575, al–Bazzar 3107 dan al–Hakim 1/545 dab Ibnus Sunni 48, lihat Shahiih at–Targhiib wat Tarhiib I/417 no. 661, hasan;
1;أَصْبَحْنَا عَلَى فِطْرَةِ اْلإِسْلاَمِ وَعَلَى كَلِمَةِ اْلإِخْلاَصِ، وَعَلَى دِيْنِ نَبِيِّنَا مُحَمَّدٍ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ، وَعَلَى مِلَّةِ أَبِيْنَا إِبْرَاهِيْمَ، حَنِيْفًا مُسْلِمًا وَمَا كَانَ مِنَ الْمُشْرِكِيْنَ;Di waktu pagi kami berada diatas fitrah agama Islam, kalimat ikhlas, agama Nabi kami Muham­mad shallallaahu 'alaihi wa sallam dan agama ayah kami, Ibrahim, yang ber­diri di atas jalan yang lurus, muslim dan tidak ter­golong orang–orang musyrik.;HR. Ahmad III/406, 407, V/123, ad–Darimi II/292 dan Ibnus Sunni dalam Amalul Yaum wal Lailah no. 34, Misykaatul Mashaabiih no. 2415, Shahiihal–Jaami'ish Shaghiir no. 4674, shahih;
3;سُبْحَانَ اللهِ وَبِحَمْدِهِ، عَدَدَ خَلْقِهِ، وَرِضَا نَفْسِهِ، وَزِنَةَ عَرْشِهِ، وَمِدَادَ كَلِمَاتِهِ;Mahasuci Allah, aku memuji–Nya sebanyak bilangan makhluk–Nya, Mahasuci Allah sesuai keridhaan–Nya, Mahasuci seberat timbangan 'Arsy–Nya, dan Mahasuci sebanyak tinta (yang menulis) kalimat–Nya.;HR. Muslim no. 2726. Syarah Muslim XVII/44;
1;اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ عِلْمًا نَافِعًا، وَرِزْقًا طَيِّبًا، وَعَمَلاً مُتَقَبَّلاً;Ya Allah, sesungguhnya aku meminta kepada–Mu ilmu yang bermanfaat, rizki yang halal, dan amalan yang diterima.;HR. Ibnu Majah no. 925, Shahiih Ibni Majah 1/152 no. 753 dan Ibnus Sunni dalam 'Amalul Yaum wal Lailah, shahih;
1 atau 10;لاَ إِلَـهَ إِلاَّ اللهُ وَحْدَهُ لاَ شَرِيْكَ لَهُ، لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيْرُ;Tidak ada Ilah (yang berhak diibadahi dengan benar) selain Allah Yang Mahaesa, tidak ada sekutu bagi–Nya. Bagi–Nya kerajaan dan bagi–Nya segala puji. Dan Dia Mahakuasa atas segala sesuatu.;HR. Abu Dawud no. 5077, Ibnu Majah no. 3867, Shahiih Jaami'ish Shaghiir no. 6418, Misykaatul Mashaabiih no. 2395, Shahiih at–Targhiib 1/414 no. 656, shahih.;
100;سُبْحَانَ اللهِ وَبِحَمْدِهِ;Mahasuci Allah, aku memuji–Nya;HR. Muslim no. 2691 dan no. 2692, Syarh Muslim XVII/17–18, Shahiih at–Targhiib wat Tarhiib 1/413 no. 653. Jumlah yang terbanyak dari dzikir–dzikir Nabi adalah seratus diwaktu pagi dan seratus diwaktu sore. Adapun riwayat yang menyebutkan sampai seribu adalah munkar, karena haditsnya dha'if. (Silsilah al–Ahaadiits adh–Dha'iifah no. 5296).;
100;أَسْتَغْفِرُ اللهَ وَأَتُوْبُ إِلَيْهِ;Aku memohon ampunan kepada Allah dan bertaubat kepada–Nya;HR. Al–Bukhari/ Fathul Baari XI/101 dan Muslim no.2702;
